hz,cf,power_level_dBm,measured_dBm,corrected_measured_dBm
100000.0,97.8,-20.0,-20.42,-19.970760000000002
300000.0,99.7,-20.0,-20.32,-20.25904
1000000.0,99.4,-20.0,-20.2,-20.0788
3000000.0,98.7,-20.0,-20.18,-19.917659999999998
10000000.0,98.7,-20.0,-20.12,-19.85844
30000000.0,98.3,-20.0,-20.12,-19.77796
100000000.0,97.9,-20.0,-20.13,-19.70727
300000000.0,97.5,-20.0,-20.19,-19.68525
1000000000.0,97.1,-20.0,-20.240000000000002,-19.65304
2000000000.0,96.0,-20.0,-20.400000000000002,-19.584
100000.0,97.8,-10.0,-10.41,-10.18098
300000.0,99.7,-10.0,-10.290000000000001,-10.25913
1000000.0,99.4,-10.0,-10.18,-10.118920000000001
3000000.0,98.7,-10.0,-10.16,-10.02792
10000000.0,98.7,-10.0,-10.1,-9.9687
30000000.0,98.3,-10.0,-10.1,-9.9283
100000000.0,97.9,-10.0,-10.02,-9.80958
300000000.0,97.5,-10.0,-10.09,-9.83775
1000000000.0,97.1,-10.0,-10.15,-9.85565
2000000000.0,96.0,-10.0,-10.3,-9.888
100000.0,97.8,0.0,-0.34,-0.33252000000000004
300000.0,99.7,0.0,-0.22,-0.21934
1000000.0,99.4,0.0,-0.1,-0.09940000000000002
3000000.0,98.7,0.0,-0.09,-0.08882999999999999
10000000.0,98.7,0.0,-0.03,-0.029609999999999997
30000000.0,98.3,0.0,-0.03,-0.02949
100000000.0,97.9,0.0,-0.07,-0.06853000000000001
300000000.0,97.5,0.0,-0.11,-0.10725
1000000000.0,97.1,0.0,-0.16,-0.15536
2000000000.0,96.0,0.0,-0.31,-0.2976
100000.0,97.8,10.0,9.540000000000001,9.33012
300000.0,99.7,10.0,9.73,9.70081
1000000.0,99.4,10.0,9.86,9.80084
3000000.0,98.7,10.0,9.86,9.731819999999999
10000000.0,98.7,10.0,9.92,9.79104
30000000.0,98.3,10.0,9.91,9.74153
100000000.0,97.9,10.0,9.91,9.70189
300000000.0,97.5,10.0,9.99,9.74025
1000000000.0,97.1,10.0,9.950000000000001,9.66145
2000000000.0,96.0,10.0,9.790000000000001,9.3984
