hz,cf,power_level_dBm,measured_dBm,corrected_measured_dBm
100000.0,97.8,-20.0,-20.34,-19.89252
300000.0,99.7,-20.0,-20.26,-20.19922
1000000.0,99.4,-20.0,-20.22,-20.09868
3000000.0,98.7,-20.0,-20.23,-19.967010000000002
10000000.0,98.7,-20.0,-20.21,-19.94727
30000000.0,98.3,-20.0,-20.18,-19.83694
100000000.0,97.9,-20.0,-20.16,-19.73664
300000000.0,97.5,-20.0,-20.22,-19.714499999999997
1000000000.0,97.1,-20.0,-20.330000000000002,-19.74043
2000000000.0,96.0,-20.0,-20.39,-19.5744
3000000000.0,90.3,-20.0,-20.650000000000002,-18.646950000000004
4200000000.0,86.6,-20.0,-20.84,-18.047439999999998
100000.0,97.8,-10.0,-10.290000000000001,-10.06362
300000.0,99.7,-10.0,-10.23,-10.19931
1000000.0,99.4,-10.0,-10.18,-10.118920000000001
3000000.0,98.7,-10.0,-10.19,-10.05753
10000000.0,98.7,-10.0,-10.16,-10.02792
30000000.0,98.3,-10.0,-10.120000000000001,-9.94796
100000000.0,97.9,-10.0,-10.08,-9.86832
300000000.0,97.5,-10.0,-10.14,-9.8865
1000000000.0,97.1,-10.0,-10.22,-9.92362
2000000000.0,96.0,-10.0,-10.290000000000001,-9.878400000000001
3000000000.0,90.3,-10.0,-10.52,-9.49956
4200000000.0,86.6,-10.0,-10.69,-9.257539999999999
100000.0,97.8,0.0,-0.31,-0.30318
300000.0,99.7,0.0,-0.21,-0.20937
1000000.0,99.4,0.0,-0.17,-0.16898000000000002
3000000.0,98.7,0.0,-0.18,-0.17765999999999998
10000000.0,98.7,0.0,-0.15,-0.14805
30000000.0,98.3,0.0,-0.12,-0.11796
100000000.0,97.9,0.0,-0.1,-0.09790000000000001
300000000.0,97.5,0.0,-0.15,-0.14625
1000000000.0,97.1,0.0,-0.23,-0.22333
2000000000.0,96.0,0.0,-0.29,-0.2784
3000000000.0,90.3,0.0,-0.54,-0.48762000000000005
4200000000.0,86.6,0.0,-0.68,-0.5888800000000001
300000.0,99.7,10.0,9.77,9.740689999999999
1000000.0,99.4,10.0,9.81,9.751140000000001
3000000.0,98.7,10.0,9.8,9.672600000000001
10000000.0,98.7,10.0,9.83,9.70221
30000000.0,98.3,10.0,9.86,9.69238
100000000.0,97.9,10.0,9.870000000000001,9.662730000000002
300000000.0,97.5,10.0,9.870000000000001,9.62325
1000000000.0,97.1,10.0,9.77,9.48667
2000000000.0,96.0,10.0,9.66,9.2736
3000000000.0,90.3,10.0,9.4,8.4882
4200000000.0,86.6,10.0,9.290000000000001,8.04514
