hz,cf,power_level_dBm,measured_dBm,corrected_measured_dBm
100000000.0,99.3,-5.0,-5.0600000000000005,-5.02458
2000000000.0,98.6,-5.0,-5.25,-5.1765
3000000000.0,97.4,-5.0,-5.3,-5.1622
4000000000.0,96.7,-5.0,-5.32,-5.14444
5000000000.0,96.8,-5.0,-5.29,-5.1207199999999995
6000000000.0,96.9,-5.0,-5.3500000000000005,-5.184150000000001
7000000000.0,97.4,-5.0,-5.32,-5.181680000000001
8000000000.0,97.7,-5.0,-5.5,-5.3735
9000000000.0,98.0,-5.0,-5.6000000000000005,-5.488
10000000000.0,97.3,-5.0,-5.5200000000000005,-5.37096
11000000000.0,96.9,-5.0,-5.71,-5.532990000000001
12000000000.0,97.6,-5.0,-5.8500000000000005,-5.7096
13000000000.0,97.5,-5.0,-5.45,-5.31375
14000000000.0,95.8,-5.0,-5.45,-5.2211
15000000000.0,94.9,-5.0,-5.63,-5.3428700000000005
16000000000.0,95.6,-5.0,-5.66,-5.41096
17000000000.0,94.4,-5.0,-5.5600000000000005,-5.248640000000001
18000000000.0,94.6,-5.0,-5.57,-5.26922
100000000.0,99.3,0.0,-0.03,-0.029789999999999997
2000000000.0,98.6,0.0,-0.21,-0.20706
3000000000.0,97.4,0.0,-0.28,-0.2727200000000001
4000000000.0,96.7,0.0,-0.27,-0.26109000000000004
5000000000.0,96.8,0.0,-0.22,-0.21295999999999998
6000000000.0,96.9,0.0,-0.26,-0.25194000000000005
7000000000.0,97.4,0.0,-0.22,-0.21428000000000003
8000000000.0,97.7,0.0,-0.45,-0.43965
9000000000.0,98.0,0.0,-0.51,-0.4998
10000000000.0,97.3,0.0,-0.48,-0.46703999999999996
11000000000.0,96.9,0.0,-0.63,-0.6104700000000001
12000000000.0,97.6,0.0,-0.71,-0.6929599999999999
13000000000.0,97.5,0.0,-0.37,-0.36075
14000000000.0,95.8,0.0,-0.36,-0.34487999999999996
15000000000.0,94.9,0.0,-0.55,-0.52195
16000000000.0,95.6,0.0,-0.5700000000000001,-0.5449200000000001
17000000000.0,94.4,0.0,-0.45,-0.4248
18000000000.0,94.6,0.0,-0.45,-0.42569999999999997
100000000.0,99.3,10.0,9.98,9.91014
2000000000.0,98.6,10.0,9.82,9.68252
3000000000.0,97.4,10.0,9.74,9.48676
4000000000.0,96.7,10.0,9.75,9.42825
5000000000.0,96.8,10.0,9.76,9.44768
6000000000.0,96.9,10.0,9.81,9.50589
7000000000.0,97.4,10.0,9.78,9.52572
8000000000.0,97.7,10.0,9.53,9.31081
9000000000.0,98.0,10.0,9.58,9.3884
10000000000.0,97.3,10.0,9.52,9.26296
11000000000.0,96.9,10.0,9.44,9.14736
12000000000.0,97.6,10.0,9.32,9.09632
13000000000.0,97.5,10.0,9.67,9.42825
14000000000.0,95.8,10.0,9.58,9.17764
15000000000.0,94.9,10.0,9.51,9.02499
16000000000.0,95.6,10.0,9.58,9.158479999999999
17000000000.0,94.4,10.0,9.55,9.015200000000002
18000000000.0,94.6,10.0,9.59,9.07214
