,hz,cf,power_level_dBm,measured_dBm,corrected_measured_dBm
0,100000.0,97.8,-20.0,-22.61,-22.112579999999998
1,300000.0,99.7,-20.0,-20.88,-20.817359999999997
2,1000000.0,99.4,-20.0,-20.58,-20.45652
3,3000000.0,98.7,-20.0,-20.56,-20.29272
4,10000000.0,98.7,-20.0,-20.54,-20.27298
5,30000000.0,98.3,-20.0,-20.51,-20.16133
6,100000000.0,97.9,-20.0,-20.48,-20.049920000000004
7,300000000.0,97.5,-20.0,-20.51,-19.99725
8,1000000000.0,97.1,-20.0,-20.56,-19.963759999999997
9,2000000000.0,96.0,-20.0,-20.62,-19.7952
10,3000000000.0,90.3,-20.0,-20.83,-18.80949
11,4200000000.0,86.6,-20.0,-21.03,-18.21198
12,100000.0,97.8,-10.0,-10.32,-10.09296
13,300000.0,99.7,-10.0,-10.26,-10.22922
14,1000000.0,99.4,-10.0,-10.22,-10.158680000000002
15,3000000.0,98.7,-10.0,-10.24,-10.10688
16,10000000.0,98.7,-10.0,-10.22,-10.08714
17,30000000.0,98.3,-10.0,-10.18,-10.00694
18,100000000.0,97.9,-10.0,-10.15,-9.936850000000002
19,300000000.0,97.5,-10.0,-10.21,-9.95475
20,1000000000.0,97.1,-10.0,-10.27,-9.97217
21,2000000000.0,96.0,-10.0,-10.32,-9.9072
22,3000000000.0,90.3,-10.0,-10.59,-9.56277
23,4200000000.0,86.6,-10.0,-10.75,-9.3095
24,100000.0,97.8,0.0,8.02,7.843559999999999
25,300000.0,99.7,0.0,-2.68,-2.6719600000000003
26,1000000.0,99.4,0.0,-0.18,-0.17892000000000002
27,3000000.0,98.7,0.0,-0.19,-0.18753
28,10000000.0,98.7,0.0,-0.18,-0.17765999999999998
29,30000000.0,98.3,0.0,-0.16,-0.15728
30,100000000.0,97.9,0.0,-0.14,-0.13706000000000002
31,300000000.0,97.5,0.0,-0.18,-0.1755
32,1000000000.0,97.1,0.0,-0.23,-0.22333
33,2000000000.0,96.0,0.0,-0.29,-0.2784
34,3000000000.0,90.3,0.0,-0.58,-0.52374
35,4200000000.0,86.6,0.0,-0.71,-0.61486
36,100000.0,97.8,10.0,10.67,10.43526
37,300000.0,99.7,10.0,9.77,9.740689999999999
38,1000000.0,99.4,10.0,9.81,9.751140000000001
39,3000000.0,98.7,10.0,9.79,9.66273
40,10000000.0,98.7,10.0,9.8,9.672600000000001
41,30000000.0,98.3,10.0,9.83,9.662889999999999
42,100000000.0,97.9,10.0,9.83,9.62357
43,300000000.0,97.5,10.0,9.83,9.584249999999999
44,1000000000.0,97.1,10.0,9.77,9.48667
45,2000000000.0,96.0,10.0,9.66,9.2736
46,3000000000.0,90.3,10.0,9.37,8.46111
47,4200000000.0,86.6,10.0,9.26,8.01916
48,100000.0,97.8,20.0,3.57,3.4914599999999996
49,300000.0,99.7,20.0,9.77,9.740689999999999
50,1000000.0,99.4,20.0,9.81,9.751140000000001
51,3000000.0,98.7,20.0,9.79,9.66273
52,10000000.0,98.7,20.0,9.81,9.68247
53,30000000.0,98.3,20.0,9.83,9.662889999999999
54,100000000.0,97.9,20.0,9.83,9.62357
55,300000000.0,97.5,20.0,9.83,9.584249999999999
56,1000000000.0,97.1,20.0,9.77,9.48667
57,2000000000.0,96.0,20.0,9.66,9.2736
58,3000000000.0,90.3,20.0,9.37,8.46111
59,4200000000.0,86.6,20.0,9.26,8.01916
