Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,10u X7R 50V,
C10,0402,1,100n,C14663
"C11, C5",0402,2,100n,
C3,0603,1,10n,C14663
C4,1206,1,22u X7R 10V,
C6,0603,1,4u7,
C7,0603,1,100n,C14663
C8,0402,1,6.2p C0G,
C9,0402,1,6.2p C0G,C14663
D1,SOT-23-3,1,SB05W05C,
"D2, D3",SOT-23,2,NUP2105L,C284104
D4,0402,1,YEL,C9900012286
D5,0402,1,RED,C3030991
D6,0402,1,GRN,C5252984
FB1,0603,1,FerriteBead_Small,C62708
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0,C2997435
"J2, J3",MOLEX_5054481071,2,5054481071,C17610436
"R1, R2",0402,2,5K1,
"R10, R11, R12, R13, R4",0402,5,10K,
"R14, R7",0402,2,2K2,
R15,0402,1,2K2,C473612
R16,0402,1,0,
R19,0402,1,40K2,
R5,1206,1,120,
R6,0402,1,0/DNI,C473612
R8,0402,1,1K0,
R9,0402,1,680,
"RV1, RV2, RV3",0603,3,CG0603MLC-05LE,C2655331
SW1,Nidec_Copal_SH-7010A,1,SW_Coded_SH-7010,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBT,STM32G0B1CBT
U2,uSIP11_SIS_TEX,1,TPSM82902SISR,
U3,TSOT-23-8,1,TCAN330G,
U4,SOT-23-6,1,TLV493D,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,C518135
