Designator,Mid X,Mid Y,Rotation,Layer
C1,172.4,-58.6,90.0,top
C10,162.7,-69.0,180.0,top
C11,167.0,-71.0,0.0,bottom
C3,166.6,-84.6,180.0,top
C4,176.0,-57.8,180.0,top
C5,162.0,-58.6,270.0,top
C6,172.25,-67.5,0.0,top
C7,172.25,-69.1,0.0,top
C8,168.9,-66.0,270.0,top
C9,163.7,-66.7,90.0,top
D1,169.0,-61.2,0.0,top
D2,152.0,-64.0,270.0,top
D3,183.0,-82.0,90.0,top
D4,151.29,-84.2,180.0,top
D5,159.75,-67.0125,270.0,top
D6,158.75,-67.0125,270.0,top
FB1,166.4,-81.4,0.0,top
J1,175.5,-88.2,30.0,top
J2,151.2,-73.0,270.0,top
J3,182.45,-73.0,90.0,top
R1,179.0,-80.8,0.0,top
R10,158.9,-80.9,180.0,top
R11,159.9,-89.9,0.0,top
R12,157.2,-89.9,180.0,top
R13,162.2,-80.9,0.0,top
R14,172.5,-71.0,90.0,top
R15,173.5,-71.0,90.0,top
R16,181.0,-64.0,90.0,top
R19,171.8,-62.6,270.0,top
R2,169.4,-82.6,180.0,top
R4,171.2,-77.9,0.0,top
R5,153.0,-60.5,180.0,top
R6,152.1,-80.5,0.0,top
R7,151.29,-83.2,0.0,top
R8,159.75,-69.0125,90.0,top
R9,158.75,-69.0125,90.0,top
RV1,166.6,-83.0,180.0,top
RV2,174.0,-82.4,30.0,top
RV3,171.3,-84.0,210.0,top
SW1,158.4,-85.4,0.0,top
U1,166.88455,-73.365,180.0,top
U2,175.4,-61.4,0.0,top
U3,159.4,-58.6,0.0,top
U4,166.88455,-73.365,0.0,bottom
Y1,166.3,-66.4,180.0,top
