Designator,Footprint,Quantity,Value,LCSC Part #
"C1_5, C2, C3, C4",0603,4,390p NP0 50V,C162100
"C1_4, C1_3, C1_2, C1",0402,4,390p NP0 50V,C162100
"C10, C5, C6, C7, C8",0603,5,1n NP0 50V,C77026
C9,0603,1,DNP,DNP
"D1_5, D1_4, D1_3, D1_2, D1, D2_5, D3_5, D4",D_SOD-523,8,SMP1340,C5365278
"D2_4, D2_3, D2_2, D2, D3_4, D3_3, D3_2, D3, D5, D6, D7, D8, D9",D_SOD-923,13,ESD7951ST5G,ESD7951ST5G
"FB1, FB2, FB3, FB4",0603,4,600R @ 100 MHz,C94375
"J1_5, J2_5, J2_4, J2_3, J2_2, J2, J3, J4, J5",SMA_Horizontal,9,Conn_Coaxial,C1509208
"J1_4, J1_3, J1_2, J1",SMA_Molex-73391-0070_Vertical,4,Conn_Coaxial,C2874833
J6,RJ45_Amphenol_RJHSE5380,1,RJ45_Shielded,C464586
"L1_5, L1_4, L1_3, L1_2, L1, L2, L3, L4",IMC1008,8,560n,C5365279
L5,0402,1,0R,C5365279
"R1, R10, R3, R5, R7, R9",0603,6,100K,C14675
"R2, R4, R6, R8",0603,4,270,C137754
U1,SO-8_3.9x4.9mm_P1.27mm,1,SMDA05,C1978067
