Designator,Mid X,Mid Y,Rotation,Layer
C1_5,59.0,-52.0,270.0,top
C1_4,209.75,-33.0,0.0,top
C1_3,157.75,-33.0,0.0,top
C1_2,157.75,-85.0,0.0,top
C1,209.75,-85.0,0.0,top
C10,95.5,-25.5,90.0,top
C2,66.0,-59.0,180.0,top
C3,59.0,-66.0,90.0,top
C4,52.0,-59.0,0.0,top
C5,54.75,-46.75,180.0,top
C6,71.25,-54.75,90.0,top
C7,63.25,-71.25,0.0,top
C8,46.75,-63.25,270.0,top
C9,64.5,-64.0,45.0,top
D1_5,59.0,-46.0,270.0,top
D1_4,214.875,-33.0,0.0,top
D1_3,214.875,-85.0,0.0,top
D1_2,162.875,-85.0,0.0,top
D1,162.875,-33.0,0.0,top
D2_5,72.0,-59.0,180.0,top
D2_4,156.0,-33.44,90.0,top
D2_3,156.0,-85.44,90.0,top
D2_2,208.0,-33.44,90.0,top
D2,208.0,-85.44,90.0,top
D3_5,59.0,-72.0,90.0,top
D3_4,165.0,-85.45,90.0,top
D3_3,217.0,-33.45,90.0,top
D3_2,217.0,-85.45,90.0,top
D3,165.0,-33.45,90.0,top
D4,46.0,-59.0,0.0,top
D5,58.575,-24.5,0.0,top
D6,93.6,-58.58,270.0,top
D7,59.425,-93.7,180.0,top
D8,24.5,-59.425,90.0,top
D9,93.7,-86.925,90.0,top
FB1,82.8,-45.0,0.0,top
FB2,82.8,-46.6,0.0,top
FB3,82.8,-48.2,0.0,top
FB4,82.8,-49.8,0.0,top
J1_5,59.0,-19.5,270.0,top
J1_4,151.0,-33.0,0.0,top
J1_3,203.0,-33.0,0.0,top
J1_2,203.0,-85.0,0.0,top
J1,151.0,-85.0,0.0,top
J2_5,98.5,-59.0,180.0,top
J2_4,222.0,-85.0,180.0,top
J2_3,170.0,-85.0,180.0,top
J2_2,222.0,-33.0,180.0,top
J2,170.0,-33.0,180.0,top
J3,59.0,-98.5,90.0,top
J4,19.5,-59.0,0.0,top
J5,98.5,-86.5,180.0,top
J6,95.625,-33.94,270.0,top
L1_5,57.75,-49.0,180.0,top
L1_4,160.125,-86.25,270.0,top
L1_3,160.125,-34.25,270.0,top
L1_2,212.125,-34.25,270.0,top
L1,212.125,-86.25,270.0,top
L2,69.0,-57.75,90.0,top
L3,60.25,-69.0,0.0,top
L4,49.0,-60.25,270.0,top
L5,62.25,-62.75,315.0,top
R1,58.175,-25.8,180.0,top
R10,93.8,-25.5,90.0,top
R2,79.6,-45.0,0.0,top
R3,92.3,-58.2,90.0,top
R4,79.6,-46.6,0.0,top
R5,59.875,-92.4,0.0,top
R6,79.6,-48.2,0.0,top
R7,25.8,-59.775,270.0,top
R8,79.6,-49.8,0.0,top
R9,92.4,-87.375,270.0,top
U1,83.384,-37.5,180.0,top
