Designator,Mid X,Mid Y,Rotation,Layer
C1,83.5,-80.7,90.0,top
C2,85.1,-82.4,270.0,top
C3,85.1,-79.0,90.0,top
J1,61.3,-92.4,0.0,top
J10,138.6,-81.4,90.0,top
J2,75.86,-92.44,0.0,top
J4,100.0,-109.9,0.0,top
J5,100.0,-63.71,180.0,top
J7,121.07,-109.9,0.0,top
J8,131.17,-109.9,0.0,top
J9,138.56925,-96.3,90.0,top
R1,87.8,-83.7,0.0,top
R10,130.9,-97.5,180.0,top
R11,130.5,-84.0,180.0,top
R2,87.8,-81.7,180.0,top
R3,87.8,-79.7,180.0,top
R5,100.0,-103.75,0.0,top
R6,100.0,-98.75,0.0,top
R7,100.0,-93.75,0.0,top
R8,100.0,-88.75,0.0,top
R9,130.9,-101.4,180.0,top
