Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C7, C8",0603,4,100n,C14663
"C10, C2, C6, C9",1206,4,10u,C13585
C11,CP_EIA-7343-31_Kemet-D,1,100u,C7224
C13,CP_EIA-6032-28_Kemet-C,1,47u,C145123
C3,1206,1,100n C0G/NP0,C97946
C4,1210,1,47u,C90142
C5,1206,1,47 nF C0G/NP0,C21812
"J1, J2, J5",SMA_Amphenol_901-144_Vertical,3,Conn_Coaxial_Small,C5250058
Q1,TSOT-23,1,MMBFJ310,C33416
"Q2, Q3",TSOT-23,2,MMBT3904,C49435601
R1,0603,1,1M,C4250208
"R10, R3",0603,2,470,C705779
"R11, R12",0805,2,33,C218521
R13,0603,1,100,C122970
R2,0603,1,150,C860127
R4,0603,1,47K,C326725
"R5, R8, R9",0603,3,10K,C95204
R6,0603,1,4K7,C513565
R7,0603,1,1K,C110776
RV1,Potentiometer_Bourns_3314G_Vertical,1,2K,C711704
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint,
