Designator,Mid X,Mid Y,Rotation,Layer
C1,125.75,-107.5,0.0,top
C10,151.25,-102.0,90.0,top
C11,130.75,-101.0,270.0,top
C12,137.95,-93.8,90.0,top
C13,137.25,-101.5,270.0,top
C2,133.75,-112.25,270.0,top
C3,137.75,-110.4,270.0,top
C4,145.0,-114.45,270.0,top
C5,145.55,-107.25,0.0,top
C6,154.75,-108.0,0.0,top
C7,140.75,-103.25,90.0,top
C8,149.0,-102.75,90.0,top
C9,143.0,-102.5,90.0,top
FID1,123.25,-91.5,0.0,top
FID2,158.5,-102.5,0.0,top
FID3,125.5,-121.4,0.0,top
J1,120.0,-116.0,0.0,bottom
J2,157.0,-116.0,180.0,bottom
J5,120.0,-100.0,0.0,bottom
Q1,132.75,-108.0,180.0,top
Q2,143.75,-110.2,180.0,top
Q3,150.25,-107.0,270.0,top
R1,129.0,-108.25,270.0,top
R10,149.25,-111.0,270.0,top
R11,159.0,-108.0,0.0,top
R12,136.15,-93.8,270.0,top
R13,134.25,-101.25,270.0,top
R2,131.75,-111.5,270.0,top
R3,134.25,-104.5,270.0,top
R4,140.25,-107.0,270.0,top
R5,140.25,-110.5,270.0,top
R6,142.25,-106.5,270.0,top
R7,142.25,-113.7,270.0,top
R8,147.25,-104.5,270.0,top
R9,147.25,-110.0,270.0,top
RV1,128.25,-114.0,0.0,top
