Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C15, C19, C21, C22, C24, C25, C26",0402,12,100n,
C13,0402,1,1u,
"C16, C17, C18, C20, C23",0402,5,10u,
"C2, C3",0201,2,2.2u,
"C4, C5",0402,2,33p,
"C6, C7",0402,2,4.7n,
"C8, C9",0402,2,2.2u,
D1,0603,1,LED/RED,
D2,0603,1,LED/GREEN,
"FID1, FID2, FID3",Fiducial_0.5mm_Mask1mm,3,Fiducial,
"H1, H2, H3, H4",RPi_Hat_Mounting_Hole,4,MountingHole_Pad,
J1,Samtec_HLE-120-02-XXX-DV-BE-XX-XX,1,RPi_GPIO,
J2,SMA_Amphenol_901-143_Horizontal,1,Conn_Coaxial_Small,C493445
J3,Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,1,Conn_02x02_Counter_Clockwise,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,SolderJumper_2_Open,
JP2,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,SolderJumper_2_Bridged,
"Q1, Q2",SOT-23,2,BS170,
"R1, R12, R18, R19, R2, R21, R22, R25, R3, R4, R5",0402,11,10K,
"R10, R11, R20, R24",0402,4,1K,
"R13, R15, R16, R17",0402,4,0,
R14,0402,1,27,
"R23, R26",0402,2,220K,
"R6, R7",0402,2,100,
"R8, R9",0402,2,100K,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP2, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,12,TestPoint,
U1,SOT-23-5,1,AT24CS32-STUM,C147891
U2,LFCN,1,LCN-160+,C879890
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,TLV320AIC3204, C9925
"U4, U6",VSSOP-8_2.3x2mm_P0.5mm,2,74LVC2T45DC,C15741
U5,SA8x8,1,SA818,C3001549
