Designator,Mid X,Mid Y,Rotation,Layer
C1,147.1375,-91.65,90.0,top
C10,106.5,-122.1,0.0,top
C11,100.6,-119.7,270.0,top
C12,106.4,-114.8,0.0,top
C13,106.4,-113.8,0.0,top
C14,108.9,-120.6,270.0,top
C15,104.5,-114.8,0.0,top
C16,106.4,-112.8,0.0,top
C17,104.5,-113.8,0.0,top
C18,107.9,-120.6,270.0,top
C19,107.9,-116.1,90.0,top
C2,110.5,-124.09,180.0,top
C20,108.9,-116.1,90.0,top
C21,101.32,-98.615,180.0,top
C22,101.2,-92.91,180.0,top
C23,121.2,-90.5,0.0,top
C24,121.2,-91.7,0.0,top
C25,106.22,-98.6,0.0,top
C26,106.3,-92.9,0.0,top
C3,112.9,-130.9,0.0,top
C4,109.2,-124.58,270.0,top
C5,114.2,-131.4,270.0,top
C6,110.42,-119.8,0.0,top
C7,110.4,-116.5,0.0,top
C8,110.4,-118.7,0.0,top
C9,110.4,-117.6,0.0,top
D1,88.0,-119.0,180.0,top
D2,88.0,-124.0,180.0,top
FID1,88.5,-97.0,0.0,top
FID2,148.9,-98.6,0.0,top
FID3,137.75,-135.25,0.0,top
H1,89.618,-83.82,0.0,top
H2,147.618,-83.82,0.0,top
H3,89.618,-132.82,0.0,top
H4,147.618,-132.82,0.0,top
J1,118.618,-83.82,90.0,top
J2,150.4,-118.1,270.0,top
J3,102.8,-131.0,180.0,top
Q1,93.5,-118.25,270.0,top
Q2,93.5,-124.75,270.0,top
R1,94.0,-92.8,0.0,top
R10,108.41,-118.7,0.0,top
R11,108.4,-117.6,0.0,top
R12,102.6,-114.8,180.0,top
R13,97.9,-116.7,0.0,top
R14,97.9,-117.7,0.0,top
R15,100.1,-117.7,0.0,top
R16,100.1,-116.7,0.0,top
R17,100.1,-115.7,0.0,top
R18,102.9,-97.7,90.0,top
R19,98.7,-96.4,90.0,top
R2,94.0,-90.6,0.0,top
R20,88.0,-120.5,180.0,top
R21,113.8,-93.8,0.0,top
R22,94.25,-115.75,0.0,top
R23,93.25,-120.75,0.0,top
R24,88.0,-125.5,180.0,top
R25,94.25,-122.25,0.0,top
R26,93.25,-127.25,0.0,top
R3,141.9375,-89.65,270.0,top
R4,141.9375,-91.65,90.0,top
R5,147.1375,-89.75,90.0,top
R6,113.39,-124.19,180.0,top
R7,110.1,-130.9,0.0,top
R8,111.8,-124.6,270.0,top
R9,111.6,-131.4,270.0,top
U1,144.5375,-90.65,180.0,top
U2,146.6,-108.1,270.0,top
U3,104.25,-118.45,90.0,top
U4,101.0,-95.795,90.0,top
U5,128.0,-114.0,0.0,top
U6,106.55,-95.795,270.0,top
