Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4u7,
"C10, C3, C4, C9",0603,4,100n,
C2,0603,1,10n,
"C5, C6",0805,2,10u,
"C7, C8",0402,2,6p2,
D1,0603,1,YEL,
D2,0603,1,RED,
D3,0603,1,GRN,
D4,SOT-23,1,NUP2105L,
D5,D_SMA,1,D_Schottky,
FB1,0603,1,FerriteBead_Small,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0,C2997435
J2,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,1,DE9_Plug,
J3,PinHeader_2x05_P1.27mm_Vertical,1,Conn_ARM_JTAG_SWD_10,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",1,Screw_Terminal_01x03,
J6,MOLEX_5054481071,1,5054481071,
J7,BarrelJack_CUI_PJ-063AH_Horizontal,1,Conn_Coaxial_Power,
J8,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
R1,0603,1,2K2,
"R10, R9",1206,2,0,
"R2, R4",0603,2,5K1,
R3,0603,1,1K0,
R5,0603,1,330,
R6,0603,1,10K,
R7,1206,1,DNI,
R8,1206,1,120,
"RV1, RV2, RV3",0603,3,CG0603MLC-05LE,C2655331
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBT,STM32G0B1CBT
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
U4,SOT-23-5,1,LP5907MFX-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,
