Designator,Mid X,Mid Y,Rotation,Layer
C1,93.82,-52.0,180.0,top
C2,93.82,-60.0,180.0,top
C3,103.0,-54.5,270.0,top
C4,64.6975,-83.115,0.0,top
F1,106.5276,-46.355,180.0,top
J1,68.58,-30.48,0.0,top
J10,122.0,-80.0,270.0,top
J11,122.0,-65.0,270.0,top
J12,68.58,-96.52,180.0,top
J13,82.55,-96.52,90.0,top
J14,76.2,-96.52,90.0,top
J15,92.075,-96.52,90.0,top
J2,76.2,-30.48,90.0,top
J3,82.55,-30.48,90.0,top
J4,111.76,-30.48,90.0,top
J5,92.075,-30.48,90.0,top
J6,101.6,-30.48,90.0,top
J8,116.7225,-46.54,90.0,top
J9,59.69,-80.01,270.0,top
R1,81.534,-37.338,90.0,top
R2,81.534,-89.916,270.0,top
R3,113.475,-59.4,180.0,top
R4,64.61,-85.02,0.0,top
R5,113.5,-86.25,180.0,top
U1,93.155,-55.91,180.0,top
