Marked,Time,Serial Bus,Rx,Tx,Errors
,?,Serial1,00,,
,-998.1ms,Serial1,08,,
,-996.1ms,Serial1,00,,
,-994.0ms,Serial1,00,,
,-991.9ms,Serial1,01,,
,-989.8ms,Serial1,00,,
,-987.7ms,Serial1,00,,
,-985.6ms,Serial1,24,,
,-983.6ms,Serial1,AE,,
,-981.5ms,Serial1,DF,,
,-979.5ms,Serial1,,CD,
,-977.4ms,Serial1,,00,
,-975.3ms,Serial1,,00,
,-973.2ms,Serial1,,00,
,-971.1ms,Serial1,,00,
,-969.1ms,Serial1,,00,
,-967.0ms,Serial1,,00,
,-964.9ms,Serial1,,00,
,-962.8ms,Serial1,,00,
,-960.7ms,Serial1,,00,
,-958.7ms,Serial1,,00,
,-956.6ms,Serial1,,00,
,-954.5ms,Serial1,,00,
,-952.4ms,Serial1,,00,
,-950.3ms,Serial1,,98,
,-948.3ms,Serial1,,DE,
,-912.9ms,Serial1,CE,,
,-910.8ms,Serial1,00,,
,-908.7ms,Serial1,00,,
,-906.6ms,Serial1,00,,
,-904.5ms,Serial1,00,,
,-902.5ms,Serial1,00,,
,-900.4ms,Serial1,00,,
,-898.3ms,Serial1,08,,
,-896.2ms,Serial1,00,,
,-894.1ms,Serial1,00,,
,-892.1ms,Serial1,01,,
,-890.0ms,Serial1,00,,
,-887.9ms,Serial1,00,,
,-885.8ms,Serial1,24,,
,-883.7ms,Serial1,AE,,
,-881.6ms,Serial1,DF,,
,-879.6ms,Serial1,,CD,
,-877.5ms,Serial1,,00,
,-875.5ms,Serial1,,00,
,-873.4ms,Serial1,,00,
,-871.3ms,Serial1,,00,
,-869.2ms,Serial1,,00,
,-867.1ms,Serial1,,00,
,-865.1ms,Serial1,,00,
,-863.0ms,Serial1,,00,
,-860.9ms,Serial1,,00,
,-858.8ms,Serial1,,00,
,-856.7ms,Serial1,,00,
,-854.7ms,Serial1,,00,
,-852.6ms,Serial1,,00,
,-850.5ms,Serial1,,98,
,-848.4ms,Serial1,,DE,
,-813.0ms,Serial1,CD,,
,-810.9ms,Serial1,04,,
,-808.9ms,Serial1,00,,
,-806.8ms,Serial1,00,,
,-804.7ms,Serial1,00,,
,-802.6ms,Serial1,00,,
,-800.5ms,Serial1,00,,
,-798.4ms,Serial1,08,,
,-796.4ms,Serial1,00,,
,-794.3ms,Serial1,05,,
,-792.2ms,Serial1,00,,
,-790.1ms,Serial1,00,,
,-788.0ms,Serial1,00,,
,-786.0ms,Serial1,00,,
,-783.9ms,Serial1,8B,,
,-781.8ms,Serial1,DE,,
,-779.8ms,Serial1,,CD,
,-777.7ms,Serial1,,00,
,-775.6ms,Serial1,,00,
,-773.5ms,Serial1,,00,
,-771.4ms,Serial1,,00,
,-769.4ms,Serial1,,00,
,-767.3ms,Serial1,,00,
,-765.2ms,Serial1,,00,
,-763.1ms,Serial1,,00,
,-761.0ms,Serial1,,00,
,-759.0ms,Serial1,,00,
,-756.9ms,Serial1,,00,
,-754.8ms,Serial1,,00,
,-752.7ms,Serial1,,00,
,-750.6ms,Serial1,,98,
,-748.6ms,Serial1,,DE,
,-713.2ms,Serial1,CD,,
,-711.1ms,Serial1,04,,
,-709.0ms,Serial1,00,,
,-706.9ms,Serial1,00,,
,-704.8ms,Serial1,00,,
,-702.8ms,Serial1,00,,
,-700.7ms,Serial1,00,,
,-698.6ms,Serial1,08,,
,-696.5ms,Serial1,00,,
,-694.4ms,Serial1,05,,
,-692.4ms,Serial1,00,,
,-690.3ms,Serial1,00,,
,-688.2ms,Serial1,00,,
,-686.1ms,Serial1,00,,
,-684.0ms,Serial1,8B,,
,-681.9ms,Serial1,DE,,
,-679.9ms,Serial1,,CD,
,-677.8ms,Serial1,,00,
,-675.8ms,Serial1,,00,
,-673.7ms,Serial1,,00,
,-671.6ms,Serial1,,00,
,-669.5ms,Serial1,,00,
,-667.4ms,Serial1,,00,
,-665.4ms,Serial1,,00,
,-663.3ms,Serial1,,00,
,-661.2ms,Serial1,,00,
,-659.1ms,Serial1,,00,
,-657.0ms,Serial1,,00,
,-655.0ms,Serial1,,00,
,-652.9ms,Serial1,,00,
,-650.8ms,Serial1,,98,
,-648.7ms,Serial1,,DE,
,-613.3ms,Serial1,CD,,
,-611.3ms,Serial1,04,,
,-609.2ms,Serial1,00,,
,-607.1ms,Serial1,00,,
,-605.0ms,Serial1,00,,
,-602.9ms,Serial1,00,,
,-600.8ms,Serial1,00,,
,-598.8ms,Serial1,08,,
,-596.7ms,Serial1,00,,
,-594.6ms,Serial1,05,,
,-592.5ms,Serial1,00,,
,-590.4ms,Serial1,00,,
,-588.4ms,Serial1,00,,
,-586.3ms,Serial1,00,,
,-584.2ms,Serial1,8B,,
,-582.1ms,Serial1,DE,,
,-580.1ms,Serial1,,CD,
,-578.0ms,Serial1,,00,
